bill_id,merchant_id,legal_name,commercial_name,business_type,admin_email,telephone_number,amount,paid_amount,fee,commission_amount,status,payment_date,user_id,state
51-031-5120,60,Vinder,Brainverse,Electric,rjahncke0@rediff.com,212-242-2043,1628.01,326.55,9.1,8.93,failed,2/20/2025 3:08,33,New York
78-074-3132,18,Devpoint,Oozz,water,ageal1@tmall.com,915-771-1425,553.13,849.59,7.22,1.37,success,1/20/2025 19:37,62,Texas
79-738-0970,70,Dabtype,Zoombox,water,ckirton2@businesswire.com,321-317-4848,2481.34,1374.57,5.32,1.89,success,7/14/2024 0:08,39,Florida
83-599-1455,51,Shufflebeat,Buzzdog,water,whowat3@illinois.edu,304-100-0018,1604.56,163.6,2.12,7.42,failed,1/17/2025 21:51,37,West Virginia
39-700-6062,74,InnoZ,Meevee,gas,wclute4@independent.co.uk,605-107-6166,651.19,665.74,9.1,5.5,success,5/27/2025 21:44,27,South Dakota
53-608-6630,56,Quimba,Skivee,Electric,gsuscens5@usda.gov,570-285-1236,2823.52,241.69,2.29,8.34,failed,12/14/2024 16:30,83,Pennsylvania
27-983-1743,19,Einti,Zoovu,Electric,msambeck6@latimes.com,210-335-3458,671.85,1172.87,8.77,1.94,failed,9/25/2024 14:13,75,Texas
49-332-7150,4,Kwimbee,Kamba,Electric,sschole7@twitter.com,404-948-5253,2111.79,3034.32,0.77,9.97,success,8/6/2024 13:51,53,Georgia
09-289-4504,62,Wordtune,Oloo,Electric,afilippucci8@apple.com,402-829-0596,1784.46,2721.34,4.02,2.91,failed,2/25/2025 13:33,74,Nebraska
82-304-0917,100,Realpoint,Feedbug,Electric,cclampin9@jugem.jp,662-264-5401,1852.54,2131.61,7.02,5.76,failed,6/3/2025 9:25,100,Mississippi
47-818-2913,28,Skippad,Oba,water,mpeartreea@ow.ly,718-137-0374,2720.8,3455.6,2.02,6.38,success,8/22/2024 11:21,62,New York
40-263-0449,9,Linkbuzz,Realcube,water,mstuddersb@jiathis.com,321-742-1034,624.14,3464.82,5.97,8.66,success,3/25/2025 13:29,46,Florida
91-039-2214,42,Rhynyx,Blogtags,gas,nmacmarcuisc@examiner.com,719-133-4282,1701.13,2706.95,8.44,6.7,success,1/3/2025 6:48,96,Colorado
49-630-1045,25,Demimbu,Janyx,gas,lhartlesd@cloudflare.com,704-557-2680,781.63,2495.44,6.79,6.32,success,9/25/2024 6:06,24,North Carolina
27-354-4685,67,Trudeo,Yakidoo,Electric,jscantleberrye@stanford.edu,480-483-6471,1755.08,1971.12,9.46,7.34,success,1/25/2025 22:23,16,Arizona
11-119-1594,62,Yoveo,Yodel,water,ahenburyf@ustream.tv,214-596-7625,2024.38,667.18,3.22,2.83,success,11/30/2024 0:19,32,Texas
46-294-2163,94,Jabbersphere,Lazzy,Electric,avarndallg@yellowpages.com,916-898-7073,176.89,3432.43,0.82,5.42,failed,1/2/2025 10:07,35,California
36-172-9491,53,Wikido,Blognation,Electric,tkennicotth@hibu.com,202-495-5303,1181.95,2477.64,2.32,4.41,failed,12/28/2024 9:35,77,District of Columbia
76-976-2423,47,Rhynyx,Gigabox,gas,kcarranei@google.pl,952-322-7329,112.9,1884.26,3.28,2.05,failed,10/26/2024 4:44,3,Minnesota
63-146-8367,6,Mydo,Zoonoodle,gas,dmcguggyj@whitehouse.gov,913-630-5378,1438.6,953.86,8.56,4.57,success,3/16/2025 3:07,33,Kansas
35-716-2599,72,Jaxworks,Gabtune,Electric,esinderlandk@wikipedia.org,509-233-5370,2581.13,3498.48,4,2.89,failed,1/28/2025 2:23,47,Washington
14-181-3342,63,Kwilith,Zooxo,Electric,fcollopyl@huffingtonpost.com,405-924-5808,2444.68,337.08,5.3,5.45,success,11/15/2024 3:09,60,Oklahoma
53-708-1335,56,Zoonoodle,Youopia,water,wmeirm@eventbrite.com,804-447-6361,2313.29,3311.39,6.4,5.55,success,3/31/2025 16:02,81,Virginia
09-274-9208,53,Yodoo,Kimia,gas,ejacobsn@google.pl,202-189-3431,2058.31,511.6,6.64,2.8,failed,9/14/2024 17:23,91,District of Columbia
77-498-2089,8,Browsedrive,Youfeed,water,blilleymano@eventbrite.com,727-512-7414,2866.13,3263.64,5.3,0.29,success,9/6/2024 20:00,93,Florida
35-380-4062,9,Shuffledrive,Trupe,gas,lschroderp@who.int,405-960-6251,2666.58,1729.45,0.08,4.58,failed,6/28/2024 6:37,79,Oklahoma
74-083-6423,23,Voolia,Zoomlounge,water,rladloeq@last.fm,304-515-0444,1215.61,3011.21,2.54,5.53,success,6/3/2025 15:57,33,West Virginia
00-684-1098,74,Tambee,Skaboo,Electric,nugolettir@desdev.cn,323-924-6880,372.78,1646.98,5.42,0.83,success,2/9/2025 2:42,82,California
44-687-7789,56,Oyoloo,Wordpedia,water,clomens@nymag.com,318-695-0998,940.01,1117.49,3.2,7.39,failed,9/15/2024 20:41,93,Louisiana
68-648-4885,52,Agimba,Edgeify,gas,cparslowt@wired.com,850-684-5923,1206.1,281.69,0.45,9.36,success,4/17/2025 15:43,14,Florida
86-460-6984,57,Oyonder,Shufflester,water,lpanimanu@army.mil,626-866-0828,2820.44,2510.17,6.33,9.92,failed,1/29/2025 3:04,71,California
31-949-9916,94,Jaxbean,Quinu,water,tgrigorv@hc360.com,909-386-5317,63.67,2320.18,1.57,1.53,success,8/28/2024 0:25,50,California
30-074-6213,43,Miboo,Muxo,gas,hduellw@cnet.com,361-114-6308,2444.34,1629.22,6.82,6.08,success,11/20/2024 3:31,55,Texas
85-975-4523,31,Eadel,Blogpad,Electric,mgennyx@va.gov,509-981-5461,356.55,382.33,4.7,2.04,failed,8/25/2024 16:20,50,Washington
21-547-1463,27,Realcube,Thoughtstorm,water,anesbitty@etsy.com,505-616-1553,1995.81,3026.14,8.01,9.15,success,8/16/2024 0:11,50,New Mexico
48-527-6023,77,Quire,Zoonder,gas,moldlandz@reference.com,703-291-2527,2811.03,556.7,2.81,9.52,failed,10/9/2024 3:36,16,District of Columbia
76-186-0064,93,Gigazoom,Avavee,Electric,ssouthcoat10@example.com,508-698-5539,1473.07,131.96,9.93,8.49,success,3/5/2025 11:07,39,Massachusetts
04-946-4878,21,Feednation,Realbridge,water,atomes11@examiner.com,217-682-8095,1199.29,3076.54,4.96,0.87,success,6/9/2025 14:23,7,Illinois
25-838-1289,14,Flipbug,Mita,Electric,rschroder12@fema.gov,203-223-4646,182.16,2573.97,6.1,8.29,failed,10/17/2024 12:06,48,Connecticut
92-884-7383,64,Jayo,Teklist,gas,aklimkiewich13@liveinternet.ru,801-593-7118,1666.74,44.17,3.18,4.76,success,2/1/2025 17:15,58,Utah
11-994-1702,73,Jetwire,Teklist,Electric,kblockey14@nytimes.com,850-308-3049,2332.06,2586.95,9.4,6.28,failed,4/10/2025 10:16,39,Florida
